osmid,y,x,street_count,highway,ref,geometry
7686270512,15.2039273,120.5495117,3,,,POINT (120.5495117 15.2039273)
7686270520,15.2047259,120.5507268,3,,,POINT (120.5507268 15.2047259)
7686270521,15.2048255,120.5509186,1,,,POINT (120.5509186 15.2048255)
7686270522,15.2047013,120.5506061,3,,,POINT (120.5506061 15.2047013)
7686270534,15.2045431,120.5446528,3,,,POINT (120.5446528 15.2045431)
7686270537,15.2038937,120.5439757,3,,,POINT (120.5439757 15.2038937)
7686270543,15.2046597,120.5445211,3,,,POINT (120.5445211 15.2046597)
7686270546,15.2044941,120.5446999,3,,,POINT (120.5446999 15.2044941)
7686270547,15.2037397,120.5443324,3,,,POINT (120.5443324 15.2037397)
7686270548,15.2039842,120.5437209,3,,,POINT (120.5437209 15.2039842)
7686270561,15.2079935,120.5469784,1,,,POINT (120.5469784 15.2079935)
7686270562,15.2075238,120.5460973,3,,,POINT (120.5460973 15.2075238)
