u,v,key,osmid,oneway,name,highway,access,length,maxspeed,width,geometry,lanes,junction,bridge,ref,tunnel,service
254707300,254707883,0,23521736,False,,residential,,25.597,,6,"LINESTRING (123.2381866 13.6447861, 123.238187 13.6445559)",,,,,,
254707300,254707296,0,23521736,False,,residential,,27.348,,6,"LINESTRING (123.2381866 13.6447861, 123.2381779 13.6450319)",,,,,,
254707308,5709994160,0,600134635,False,Pacol Road,tertiary,,40.982,,6,"LINESTRING (123.2344792 13.6497501, 123.2345785 13.6493944)",,,,,,
254707308,5707797758,0,600134635,False,Pacol Road,tertiary,,33.944,,6,"LINESTRING (123.2344792 13.6497501, 123.2344106 13.650048)",,,,,,
254707308,5707698606,0,600134657,False,,service,,88.118,,,"LINESTRING (123.2344792 13.6497501, 123.2336748 13.6496198)",,,,,,
254707316,5707795993,0,23521327,False,Pacol Road,secondary,,30.543,40,6,"LINESTRING (123.2340463 13.651602, 123.2341393 13.6516372, 123.2343031 13.6517162)",,,,,,
254707316,254720966,0,23521327,False,Pacol Road,secondary,,122.08600000000001,40,6,"LINESTRING (123.2340463 13.651602, 123.2338973 13.651559, 123.2332783 13.6513801, 123.2330872 13.6513249, 123.2329636 13.6512881)",,,,,,
254707316,5707797758,0,600134635,False,Pacol Road,tertiary,,177.529,,6,"LINESTRING (123.2340463 13.651602, 123.2341898 13.6511698, 123.2343024 13.6506642, 123.2344106 13.650048)",,,,,,
254707338,8403805927,0,23520540,False,,service,,9.347,,6,"LINESTRING (123.2362375 13.6454315, 123.2361638 13.6453875)",,,,,,
254707338,254711007,0,600496634,True,Pacol Road,tertiary,,30.537,,6,"LINESTRING (123.2362375 13.6454315, 123.2360858 13.6456632)",,,,,,
254707338,254708133,0,23520540,False,,service,,111.146,,6,"LINESTRING (123.2362375 13.6454315, 123.2370804 13.6454777, 123.2372613 13.6455122)",,,,,,
254707851,2445411445,0,23521736,False,,residential,,30.34,,6,"LINESTRING (123.2416661 13.6444641, 123.2414913 13.6443973, 123.2414123 13.6443497)",,,,,,
254707851,2396217449,0,231215161,True,,residential,,24.575,,,"LINESTRING (123.2416661 13.6444641, 123.2416993 13.6444192, 123.2417549 13.6444078, 123.2418039 13.6444359, 123.2418205 13.6444887)",,roundabout,,,,
254707857,254707300,0,23520684,False,,residential,,154.839,,6,"LINESTRING (123.2396179 13.6448528, 123.2381866 13.6447861)",,,,,,
254707857,254707881,0,23520773,False,,residential,,26.462,,6,"LINESTRING (123.2396179 13.6448528, 123.2396243 13.6446149)",,,,,,
254707857,254707296,0,"[23520850, 23520773]",False,,residential,,180.249,,6,"LINESTRING (123.2396179 13.6448528, 123.2396096 13.6450815, 123.2381779 13.6450319)",,,,,,
254707881,2396217469,0,23520702,False,,residential,,16.375,,6,"LINESTRING (123.2396243 13.6446149, 123.2397758 13.6446182)",,,,,,
254707881,254707217,0,23520702,False,,residential,,76.0,,6,"LINESTRING (123.2396243 13.6446149, 123.2389221 13.6445761)",,,,,,
254707881,254707207,0,23520773,False,,residential,,36.141,,6,"LINESTRING (123.2396243 13.6446149, 123.2396566 13.6442914)",,,,,,
254707881,254707857,0,23520773,False,,residential,,26.462,,6,"LINESTRING (123.2396243 13.6446149, 123.2396179 13.6448528)",,,,,,
254707883,2396217455,0,23520702,False,,residential,,27.069,,6,"LINESTRING (123.238187 13.6445559, 123.2384375 13.6445576)",,,,,,
254707883,2396217454,0,23520702,False,,residential,,28.076,,6,"LINESTRING (123.238187 13.6445559, 123.2379277 13.6445399)",,,,,,
254707883,254707300,0,23521736,False,,residential,,25.597,,6,"LINESTRING (123.238187 13.6445559, 123.2381866 13.6447861)",,,,,,
254707883,254707286,0,23521736,False,,residential,,104.34,,6,"LINESTRING (123.238187 13.6445559, 123.2381929 13.6441672, 123.2382112 13.6439923, 123.2382449 13.6439037, 123.2382959 13.6437926, 123.2384075 13.6436781)",,,,,,
254707886,2396217454,0,23520702,False,,residential,,106.741,,6,"LINESTRING (123.2369401 13.6445602, 123.2379277 13.6445399)",,,,,,
254707886,2396217454,1,23520676,False,,residential,,158.77,,6,"LINESTRING (123.2369401 13.6445602, 123.2369229 13.6445044, 123.2369076 13.64445, 123.2369043 13.6443984, 123.236918 13.644345, 123.2369576 13.6443068, 123.237016 13.644296, 123.23782 13.644293, 123.2379063 13.6443205, 123.2379331 13.6443804, 123.2379277 13.6445399)",,,,,,
254707886,254707910,0,23520676,False,,residential,,27.442,,6,"LINESTRING (123.2369401 13.6445602, 123.236997 13.644652, 123.23703 13.6447879)",,,,,,
254707898,5707698611,0,23520760,False,,residential,,60.276,,6,"LINESTRING (123.2403201 13.6437526, 123.240275 13.6442929)",,,,,,
254707898,254707237,0,23521736,False,,residential,,27.372,,6,"LINESTRING (123.2403201 13.6437526, 123.2405428 13.6438699)",,,,,,
254707898,254752031,0,23521736,False,,residential,,36.873,,6,"LINESTRING (123.2403201 13.6437526, 123.2401282 13.6436758, 123.2400289 13.6435888)",,,,,,
254707910,254707300,0,23520684,False,,residential,,124.979,,6,"LINESTRING (123.23703 13.6447879, 123.2381866 13.6447861)",,,,,,
254707910,254707886,0,23520676,False,,residential,,27.442,,6,"LINESTRING (123.23703 13.6447879, 123.236997 13.644652, 123.2369401 13.6445602)",,,,,,
254707910,254707296,0,23520850,False,,residential,,142.236,,6,"LINESTRING (123.23703 13.6447879, 123.2370496 13.6449549, 123.2371038 13.6449833, 123.2372042 13.645022, 123.2381779 13.6450319)",,,,,,
254707932,254708062,0,23520495,False,,residential,,74.549,,6,"LINESTRING (123.2288686 13.6240374, 123.2289845 13.6233765)",,,,,,
254707932,254707953,0,23520823,False,,residential,,29.529,,6,"LINESTRING (123.2288686 13.6240374, 123.2285979 13.6240736)",,,,,,
254707932,254707933,0,23520823,False,,residential,,29.524,,6,"LINESTRING (123.2288686 13.6240374, 123.2291413 13.6240213)",,,,,,
254707933,254707932,0,23520823,False,,residential,,29.524,,6,"LINESTRING (123.2291413 13.6240213, 123.2288686 13.6240374)",,,,,,
254707933,254707947,0,23520833,False,,residential,,88.428,,6,"LINESTRING (123.2291413 13.6240213, 123.2292596 13.6232344)",,,,,,
254707933,254707132,0,"[23520857, 23520823]",False,,residential,,35.831,,6,"LINESTRING (123.2291413 13.6240213, 123.2292974 13.6240603, 123.2294566 13.6241193)",,,,,,
254707947,254707126,0,23520807,False,Camilla,residential,,29.513,,6,"LINESTRING (123.2292596 13.6232344, 123.2294603 13.6230544)",,,,,,
254707947,254707933,0,23520833,False,,residential,,88.428,,6,"LINESTRING (123.2292596 13.6232344, 123.2291413 13.6240213)",,,,,,
254707947,254708062,0,23520807,False,Camilla,residential,,34.164,,6,"LINESTRING (123.2292596 13.6232344, 123.2290543 13.6233134, 123.2289845 13.6233765)",,,,,,
254707953,254707932,0,23520823,False,,residential,,29.529,,6,"LINESTRING (123.2285979 13.6240736, 123.2288686 13.6240374)",,,,,,
254707953,8238892493,0,23520807,False,Camilla,residential,,58.006,,6,"LINESTRING (123.2285979 13.6240736, 123.2281434 13.6241023, 123.2281027 13.6240339)",,,,,,
254707953,8414766190,0,23520823,False,,residential,,62.613,,6,"LINESTRING (123.2285979 13.6240736, 123.2286175 13.6239608, 123.2287059 13.6235204)",,,,,,
254707961,254707972,0,23520434,False,Camilla,residential,,58.666,,6,"LINESTRING (123.2302518 13.6221736, 123.2299018 13.6225769)",,,,,,
254707961,5706925810,0,23520865,False,Jasmin,residential,,15.024,,6,"LINESTRING (123.2302518 13.6221736, 123.2303837 13.6221309)",,,,,,
254707961,644589084,0,23520446,False,,residential,,37.67,,6,"LINESTRING (123.2302518 13.6221736, 123.2301146 13.6221808, 123.2300067 13.6221849, 123.2299067 13.6221601)",,,,,,
254707972,254708042,0,23520434,False,Camilla,residential,,37.61,,6,"LINESTRING (123.2299018 13.6225769, 123.2296734 13.6228321)",,,,,,
254707972,254707961,0,23520434,False,Camilla,residential,,58.666,,6,"LINESTRING (123.2299018 13.6225769, 123.2302518 13.6221736)",,,,,,
254707972,254707983,0,23520893,False,,residential,,65.611,,6,"LINESTRING (123.2299018 13.6225769, 123.2300941 13.6227644, 123.2303433 13.6229816)",,,,,,
254707978,254707132,0,23520857,False,,residential,,42.332,,6,"LINESTRING (123.2298071 13.6242893, 123.2294566 13.6241193)",,,,,,
254707978,254707983,0,"[23520857, 23520865]",False,Jasmin,residential,,196.223,,6,"LINESTRING (123.2298071 13.6242893, 123.2301068 13.6244119, 123.2303433 13.6229816)",,,,,,
254707978,254708042,0,23520878,False,White Camia,residential,,174.595,,6,"LINESTRING (123.2298071 13.6242893, 123.2299676 13.6232041, 123.2298906 13.623055, 123.2296734 13.6228321)",,,,,,
254707983,5706925810,0,23520865,False,Jasmin,residential,,98.887,,6,"LINESTRING (123.2303433 13.6229816, 123.2304333 13.6224412, 123.2304554 13.6221948, 123.2303837 13.6221309)",,,,,,
254707983,254707978,0,"[23520857, 23520865]",False,Jasmin,residential,,196.223,,6,"LINESTRING (123.2303433 13.6229816, 123.2301068 13.6244119, 123.2298071 13.6242893)",,,,,,
254707983,254707972,0,23520893,False,,residential,,65.611,,6,"LINESTRING (123.2303433 13.6229816, 123.2300941 13.6227644, 123.2299018 13.6225769)",,,,,,
254707998,254708176,0,23520351,False,,service,,25.016,,6,"LINESTRING (123.235652 13.646485, 123.235504 13.646658)",,,,,,
254707998,254708169,0,23520626,False,,service,,16.902,,6,"LINESTRING (123.235652 13.646485, 123.2355639 13.6463594)",,,,,,
254707998,254752034,0,23520626,False,,service,,11.334,,6,"LINESTRING (123.235652 13.646485, 123.2357091 13.6465705)",,,,,,
254708025,254708037,0,23520421,False,,residential,,60.511,,6,"LINESTRING (123.2296915 13.61975, 123.2291365 13.6196779)",,,,,,
