u,v,key,osmid,highway,oneway,length,geometry,lanes,name,maxspeed,access,service,ref,bridge,width,junction,tunnel
268431020,9116284353,0,168277978,secondary,False,16.147,"LINESTRING (123.2754995 9.3249485, 123.2756435 9.3249186)",,,,,,,,,,
268431020,6758611116,0,168277978,secondary,False,36.935,"LINESTRING (123.2754995 9.3249485, 123.2751632 9.324962899999999)",,,,,,,,,,
268431020,8371402186,0,901166110,residential,False,62.473,"LINESTRING (123.2754995 9.3249485, 123.275544 9.325265699999999, 123.2755561 9.325290900000001, 123.2755829 9.325302799999999, 123.2757694 9.3252869)",,,,,,,,,,
268431078,268432341,0,24695612,tertiary,False,117.9,"LINESTRING (123.3057397 9.303570000000001, 123.3068134 9.303609099999999)",2,Santa Rosa,,,,,,,,
268431078,268434746,0,287500591,trunk,True,62.664,"LINESTRING (123.3057397 9.303570000000001, 123.3057196 9.304133200000001)",2,Real Street,40,,,7,,,,
268431078,268434868,0,109375270,trunk,False,75.551,"LINESTRING (123.3057397 9.303570000000001, 123.3056978 9.303357099999999, 123.3056201 9.3031545, 123.3055197 9.3029294)",,Real,,,,7,,,,
268431099,2940372763,0,287500595,trunk,False,160.765,"LINESTRING (123.3054136 9.310084399999999, 123.3047166 9.311356099999999)",,Real Street,40,,,7,,,,
268431099,268433349,0,332496066,trunk,True,89.637,"LINESTRING (123.3054136 9.310084399999999, 123.3062254 9.310174200000001)",2,Silliman Avenue,40,,,7,,,,
268431099,538284894,0,952182783,trunk,False,81.02,"LINESTRING (123.3054136 9.310084399999999, 123.3046781 9.310020400000001)",2,Silliman Avenue Extension,40,,,,,,,
268431115,1249531896,0,24695657,pedestrian,False,24.481,"LINESTRING (123.3100913 9.306570300000001, 123.3103144 9.306569100000001)",,Dr. V. Locsin,,,,,,,,
268431115,268433018,0,288264663,tertiary,False,24.204,"LINESTRING (123.3100913 9.306570300000001, 123.309871 9.306559500000001)",2,Bishop Epifanio B. Surban Street,,,,,,,,
268431115,268435097,0,332496064,secondary,False,53.031,"LINESTRING (123.3100913 9.306570300000001, 123.3099597 9.307029200000001)",2,Rizal Avenue,,,,,,,,
268431115,268434214,0,332496064,secondary,False,100.39699999999999,"LINESTRING (123.3100913 9.306570300000001, 123.3103445 9.305813300000001, 123.3103719 9.3057111)",2,Rizal Avenue,,,,,,,,
268431158,268434746,0,24695689,unclassified,False,83.577,"LINESTRING (123.3049582 9.304114200000001, 123.3057196 9.304133200000001)",2,Acias Pinili,,,,,,,,
268431158,268433034,0,287499925,trunk,True,56.675,"LINESTRING (123.3049582 9.304114200000001, 123.3049023 9.3036075)",2,Jose Pro Teves,,,,,,,,
268431250,268432832,0,290512305,secondary,False,50.619,"LINESTRING (123.3092094 9.311470699999999, 123.3092372 9.3119251)",2,Rizal Avenue,,,,,,,,
268431250,268431904,0,48454138,trunk,False,86.007,"LINESTRING (123.3092094 9.311470699999999, 123.3094359 9.3116661, 123.309757 9.3120221)",2,Dumaguete Port Road,40,,,714,,,,
